title,date,paragraph,source
董小羚：普悠瑪18冤魂沒原諒台鐵- 政治要聞 - 中國時報,,,chinatimes.com
普悠瑪脫軌事件台鐵：一周內完成5項確保行車安全工作,,,chinatimes.com
普悠瑪事件求償台鐵擬告日商 - 中時新聞網,,,chinatimes.com
黃創夏：掌權者急脫身恐推普悠瑪司機扛！ - 政治- 中時新聞網,,,chinatimes.com
花蓮》普悠瑪出軌事件未平徐榛蔚接獲請願將質詢,,,chinatimes.com
搜尋:普悠瑪第1頁 TVBS新聞網,,,news.tvbs.com
「普悠瑪出軌」時速不只140？ 家屬：超過300 - Tvbs新聞, 最後更新時間：2022/03/23 19:27								,"
 普悠瑪號事故發生已經超過3年，官司還沒結束，受害者家屬再度抨擊台鐵。 普悠瑪事故協會理事長董小羚：「一點關心問候都沒有，人命在你們眼裡很不值錢，尤其在台鐵眼裡。」 當年這起事故造成18人死亡，董家就多達8人，這回到了高院家屬打算在庭上，拿出新事證質疑運安會的調查報告。 普悠瑪事故協會理事長董小羚：「每一次我們在法庭上提出，法官總是以行政院調查小組，他們的調查報告打發我們，為什麼，他們認為我們並非專業。」 因為他們發現全長178公尺的距離，2秒內要跑完根本不可能，不是運安會公布的140公里，而是超過300，雖然還是得由法院認定，但也質疑明明台鐵是被調查對象，資料卻都以台鐵提供為主，缺乏公正性。 受害者家屬：「時間2秒，如果按照這樣算下來，2秒鐘要跑178公尺，時速必須超過300。」 而傷者當中年紀最小謝小弟的媽媽，這回也用親筆信向台鐵喊話，認為台鐵應該要好好負起責任，信中提到謝小弟目前仍有因為腦傷關係，讓他在學習上有困難，這種精神創傷，甚至常看到他獨自留淚，只能接受現在不完美的自己。 普悠瑪司機員尤振仲(2018/12/06)：「謝謝大家的關心，真的很感謝社會大眾的鼓勵，謝謝。」 當時一審認為尤姓司機員，關閉自動防護系統且超速是事故主因，依過失致死判刑4年6月，他不滿上訴始終聲稱沒有超速，現在到了二審，家屬也希望能釐清事實給出交代。",news.tvbs.com
盤點台灣重大火車事故普悠瑪18死與60年前駭人相似, 最後更新時間：2018/10/22 08:38								,"
 此次普悠瑪出軌翻覆，外傳原因是列車在出軌前「壓到異物」，而1957年12月9日所發生的「鶯歌列車傾覆意外」，則是因為孩童在軌道嬉戲堆疊道碴所造成，當時也造成18死、116輕重傷，雷同案例十分駭人。 除此之外，1991年11月15日，南下1次莒光號於134號誌站(舊山線)轉轍軌道進入副線交會列車，不料因設置於北上1006次EMU100型自強號機車端的ATS／ATW系統故障，導致自強號列車撞上莒光號的倒數第三節車廂，讓莒光號後三節車廂及自強號前三節車廂嚴重翻覆，共造成30死112傷。 1981年3月8日，北上1002次EMU100自強號於新竹往竹北間頭前溪橋南時，撞上闖越平交道的熒琦貨運公司砂石車，砂石車又被推擠撞上鐵橋，導致砂石車及火車前四節車廂翻落河床，共造成30死130人傷。  ",news.tvbs.com
普悠瑪生還少女心痛告白「你們會原諒我嗎？」 - Tvbs新聞, 最後更新時間：2018/12/06 11:47								,"
 「我一直以為生死這種事情，距離正值荳蔻年華的我們是很遙遠的事情；我從來不知道上一秒又說又笑的我們，會在下一秒失去彼此。已經30天了，沒有任何1天是我願意去相信的。」來自台東卑南國中的16歲少女以一篇《我在普悠瑪上》文章投稿到國語日報，描寫當下事故發生時，她癡癡望著情況慘重的第8車廂，就希望善良的同學朋友們都吉人天相，能夠平安走出車廂，等到天色漸晚，她心裡越來越不安，最後，她連朋友們受傷或流血都接受，只盼著大家「能出來就好」。 然而，她沒有等到美好的結局，無論她如何反覆看著最新消息，一篇篇的讀著新聞，都沒有看到她所期盼的人，她忍不住逃避現實，「這是我第一次知道，生死離我們這麼近」。後來，她接受安排，不斷到醫院看著受傷的學弟妹，參加罹難者的告別式，即使一個人時總是自責、大哭，在他人面前她仍強裝堅強，直到聽見校長說「我們可以悲傷，但我們也可以決定悲傷要影響我們多久。」她突然明白，自己必須從任性的小女孩成長為一個得面對生命無常、去照顧他人的學姐，而這條成長路，竟是如此艱難悲傷。 事發後，很多人問這名少女「如果知道會發生這件事，你還會去韓國嗎？」她認為事情不能改變，如果都要發生，「至少我們還有共同美好的回憶」。只是少女回想起，當初在韓國時，她答應老師要走在最後面照顧大家，不讓他們任何一個走太遠，「這次，我違背了諾言，我走在你們前面出來，你們會原諒我嗎？」 少女一一列出普悠瑪號的生還者、罹難者，以及一路上幫助她的人，「謝謝你們平安無事」、「謝謝你們之前的笑容」、「謝謝你們無私的付出」，對於無法挽回事故、生命的無常，少女學會成長面對，用一句「謝謝各位」結束傷感。",news.tvbs.com
普悠瑪翻車意外事件最新報導| 三立新聞網,,,setn.com
好毛！普悠瑪翻覆「疑壓異物」 竟於60年前事件好像 - 三立新聞,,,setn.com
普悠瑪事故3年半、太魯閣1年立委陳椒華：台鐵還在擺爛,"
    2022/04/25 11:16",〔記者林曉雲／台北報導〕立法院交通委員會今進行運輸安全調查委員會業務報告，立委陳椒華質詢表示，普悠瑪事故已發生3年半，太魯閣事故也1年，但台鐵局還是在擺爛，運安法第27條只有列管追蹤，強調國人無法再承受任何傷痛，要求運安會在1個月內提出改善機制，政府對台鐵應嚴加管理。 陳椒華說，運安會提出普悠瑪事故改善建議，但被認為無法執行，去年4月台鐵局才重提改善計畫，今年1月初提出改善計畫執行情形，仍未積極改善，普悠瑪事故已發生3年半，太魯閣事故也1年，運安會開了藥單，但台鐵局堅持不吃藥，台鐵擺爛3年，如果連監督機制都沒有，不是讓台鐵可以擺爛到底？讓國人面對高度的安全風險，政府應嚴加管理。 運安會主委楊宏智表示，台鐵局不是堅持不吃藥，而是台鐵局提出的改善計畫是傳統思維模式，而未落實改善，運安會是做安全調查，不涉及懲處，會和行政院分工。 立委傅崐萁表示，太魯閣事故的最終調查報告，楊宏智去年宣示說重大事故一年內調查完畢，5月已超過一年，自己的宣示應實現。 傅崐萁表示，依運安會事實調查報告，延遲6分28秒造成不幸事件，管理形同虛設，去年運安會提醒台鐵準點率要提升，如果準點就不會發生這樣的慘劇，關注台鐵準點率是否提升？去年太魯閣事故發生後，台鐵準點率去年5月誤點率5.19百分點，一度下降卻故態復萌，誤點率又再上升至7.32百分點，斥責台鐵麻木不仁。 台鐵局副局長陳仕其答詢表示，最近地震比較多，工程比較多就會影響。但被傅崐萁斥責怎麼會推給地震？誤點率是每個月一路往上走，地震是偶然發生，怒責鐵路局還未覺悟面對事實，管理階層竟不會汗顏，還可臉不紅氣不喘。 運安會主委楊宏智說明，運安會調查出事故原因，建議逐一改善，看的出台鐵局有努力改善，3月提出改善規畫是可以執行，但尚未執行，等待台鐵局的改善，行政院已有列管。,ltn.com
普悠瑪超速釀出軌翻覆？前台鐵高官：欺騙外行民眾 - 自由時報,"
    2019/11/27 11:49",〔即時新聞／綜合報導〕台鐵普悠瑪列車去年10月21日意外出軌翻覆，造成嚴重傷亡，有周刊報導指出，台鐵前副總工程司李景村本月初與罹難家屬和司機員尤振仲首度會面，李當時直言「普悠瑪根本就是假的傾斜式列車」、「傾斜角度過小、主風泵無備援系統、煞車自動卡死」。他也質疑出軌當下列車時速超過140公里的說法，並指只要列車時速超過130公里，高壓電纜線根本承受不了。 去年1021普悠瑪事故造成18死288傷的重大意外， ，李景村於本月6日與罹難家屬和尤振仲首度會面時，一開始就直言，普悠瑪從設計到監造過程中有很多缺失，當時他不敢驗收，但台鐵卻找人硬是將這批有問題的普悠瑪接收下來。李景村說，「1021鐵路事故行政調查小組」報告中顯示，翻車的普悠瑪因氣壓不足，導致比正常的普悠瑪少傾斜了一度，由於普悠瑪相當依賴電氣設備，只要有一個環節故障，就會牽連整個系統運行。 ，普悠瑪煞車是靠電磁閥啟閉作動，氣壓不足就無法正常供電給電磁閥，煞車就無法撐開造成卡死。報導指該次事故疑似是因第7車煞車卡死，導致後車衝撞前列車後翻車出軌，且4個主風泵都是靠電磁閥推動，但電磁閥卻沒有備援系統，一發生狀況就無法補救。 針對宜蘭地檢署和政院調查認定，出軌當下時速一度超過140公里，李景村則質疑是「欺騙外行的民眾」，因為普悠瑪或太魯閣上頭都有「電車線」，若列車時速超過130公里，高壓電纜線根本承受不了，且當時動力時有時無，普悠瑪怎麼可能超速？台鐵台北電務段七堵調車場技術助理黃德輝也出示一張當時計速畫面，並指類比式時速顯示57公里，ATP數位時速卻是顯示約100公里，兩者相差約40公里，對於車速140公里的說法，黃認為可能不是事實，他目測事發畫面，認為時速應該只有100公里左右，這與司機員尤振仲的供詞相吻合。 針對相關質疑，台鐵局秘書室新聞組組長翁惠平則表示，台鐵局在普悠瑪翻車事件中是被調查單位，強調台鐵局不宜再加入意見，完全尊重行政院及運安會的調查結果。翁惠平也指出，不管是普悠瑪還是太魯閣，都是最新車輛，也是日本商務行駛的現役車種，強調絕對安全無虞，要民眾放心。,ltn.com
