title,date,paragraph,source
不只是龍龍老K博恩賀瓏！台灣最夯單口喜劇演員報到,,,chinatimes.com
龍龍淚訴演出遭霸凌博恩致歉宣布：老K無限期留職停薪,,,chinatimes.com
龍龍戰老K、博恩衛福部一篇文參戰卻被公幹：國家機器這樣用？,,,chinatimes.com
博恩昔痛哭罵老K 24小時前5字疑暗示「龍龍有問題」,,,chinatimes.com
龍龍挨轟雙標回應老K霸凌6質疑影片痛哭流涕向康姐道歉,,,chinatimes.com
早說了不能講！龍龍淚訴被老K霸凌知情人爆內幕：很遺憾,,,setn.com
龍龍淚控老K霸凌廣告小妹驚：她戰力有點強會被晃到地上,,,setn.com
雞排妹「直播屠龍」風向逆轉！老K親曝心裡話網全跪了,,,setn.com
博恩公開完整對話！龍龍要求開除老K：是我最快樂的極端值,,,setn.com
雞排妹「直播屠龍」風向逆轉！老K親曝心裡話網全跪了,,,setn.com
呱吉向龍龍道歉了「挖貼文還原始末」！點名老K - 三立新聞,,,setn.com
才嗆龍龍喜劇毒瘤！老K點名「他」孬種不忍了抖驚人內幕,,,setn.com
才嗆龍龍喜劇毒瘤！老K點名「他」孬種不忍了抖驚人內幕,,,setn.com
博恩公開完整對話！龍龍要求開除老K：是我最快樂的極端值,,,setn.com
龍龍控霸凌！老K反嗆喜劇毒瘤同台演員「一席話」網推爆,,,setn.com
遭霸凌風波燒不完！龍龍道歉還原真相哭喊：盼就此落幕,,,setn.com
呱吉帶風向？龍龍控霸凌、老K反嗆說謊成性！真相全曝光,,,setn.com
要拆掉龍龍「假面具！」老K：時間久了…大家就會知道,,,setn.com
要拆掉龍龍「假面具！」老K：時間久了…大家就會知道,,,setn.com
早說了不能講！龍龍淚訴被老K霸凌知情人爆內幕：很遺憾,,,setn.com
中繼猛飆4K、解危霸氣拉弓朱俊祥：封王戰一定要的！ - 三立新聞,,,setn.com
93球再度完投完封桃猿德保拉賽後曝投球策略 - 三立新聞,,,setn.com
一夫當關！兄弟王牌洋投德保拉又完投完封桃猿 - 三立新聞,,,setn.com
自由開講》我期待的雙北生活圈及市長,2022/07/11 12:31,,ltn.com
博恩17分鐘影片道歉龍龍！懲處老K無限期留停氣哭「你為什麼 ...,,,appledaily.com
絕不向龍龍道歉！ 老K：我恨這個人她是喜劇圈毒瘤 - 蘋果日報,,,appledaily.com
龍龍槓上老K 廣告小妹：她戰力有點強會被晃到地上 - 蘋果日報,,,appledaily.com
獨家回應｜龍龍被批毒瘤很震驚回擊老K「陋習要改而非合理化」,,,appledaily.com
龍龍還原遭職場霸凌跟性羞辱始末淚述「老K道歉有那麼難」,,,appledaily.com
受不了被出征！「批龍」髮型師道歉了老K狠酸龍龍 - 蘋果日報,,,appledaily.com
蘋果民調 《炎上》霸凌風波62.2%網友認為「龍龍最失分 ...,,,appledaily.com
謝和弦又走鐘！挺老K留言「下次約龍龍呼一下」 網傻眼,,,appledaily.com
「炎上」內鬨｜「博恩管不住他」 脫口秀女王龍龍哭訴被老K ...,,,appledaily.com
龍龍控訴「老K是性羞辱」…還原遭職場霸凌始末！ 淚崩,2021年10月7日 下午1:34,脫口秀演員龍龍指控被博恩公司「薩泰爾娛樂」班底老K職場霸凌，博恩事後拍攝影片解釋事件原委，老K則發聲表示絕對不會道歉，雙方各執一詞，風波鬧得沸沸揚揚。對此，龍龍6日晚間再度發出聲明，並回應外界的諸多質疑，她更淚崩控訴：「我從頭到尾只是需要一個老K的道歉，真的有那麼難嗎？」 龍龍6日發出影片，聲淚俱下控訴被老K言語霸凌的始末，更還原當初參加炎上節目的溝通過程，她透露收到邀約後，就再三強調不希望提到前男友賀瓏，而薩泰爾的股東Hauer和博恩都承諾不會提，但老K卻在正式表演時脫稿演出，讓她不滿被欺騙，「我參加炎上的唯一條件，就是不要提到賀瓏，我不知道他們會開什麼惡意的玩笑攻擊，那如果你一邊答應我不會提到，然後一邊要在台上講到的話，那根本就是拐騙我去參加這個演出，完全違背職業道德。」 針對「開別人玩笑可以，但自己被開就不行，為什麼要當雙標女權？」龍龍表示老K的言論是職場霸凌的性羞辱事件，跟女權完全沒關係，關於雙標的部分，有人挖出她去年的影片，曾提到「每個人的底線不一樣，因為你開不起玩笑，或是你不覺得這個好笑，而我不能開玩笑」，但她認為老K等人在直播講的是性羞辱、欺負、污辱，「它跟玩笑一點關係都沒有，也一點都不好笑，我長年來一直接受這樣子惡意攻擊，我並不覺得這是一件開玩笑。」 龍龍認為自己身為一名長期在職場遭到言語霸凌的受害者，縱使再樂觀也有扛不住的時候，她坦言感情事是自己的罩門，也是身為一個女生最私密的部分，「不論是因為自以為的有趣或是以惡意包裝的笑話，長期在台上台下嘲笑私人感情事，我想已經逾越『笑話』的範疇，而這些人同時也是我的工作夥伴，被拿來嘲諷已經夠難受了，更何況是在公開舞台上被說成是兩隻天線寶寶做愛。」 龍龍無奈表示：「我就算不漂亮，身材不好，在男生心中不是值得多看一眼的女神，但我是一個活生生的人，我也會有感覺。我開不起玩笑，不是我沒有幽默感，而是我真的受傷了，不想要再在公開舞台前被說難聽的話。」她認為幾年來，碰到類似的事情能有的反應就是生氣，並不是想要吵架，純粹希望不要對方再講，因為自己已經快要承受不住了。 龍龍表示自己從頭到尾要求的不多，只希望薩泰爾能誠心道歉，「看在同情的份上也好，社會上還有多類似遭遇的人，他們的生活不是喜劇表演，卻遭到同樣的對待。」她認為言論自由不該無限上綱，表演歸表演，做人歸做人，站在台上的表演者們，各自有觀眾喜愛，但離開舞台後是受到關注的平凡人，希望大家可以一起做良性的示範。 龍龍最後向自己喊話：「壓在心裡好久的事情終於有勇氣大聲說出來，相信很多不論喜不喜歡我的觀眾都聽到了。」她也想對支持自己的人說：「我曾經說過，希望我的喜劇可以陪伴低潮的人走過人生的檻，而今天是你們陪我走過這個檻，謝謝捏！」她表示從今以後，會更珍惜每一次的演出機會，成為心目中理想的喜劇演員龍龍，並希望藉由這次的完整說明讓事件就此落幕。,news.yahoo.com
老K首度出現回應！諷龍龍喜劇毒瘤 - Yahoo新聞,2021年10月2日 下午10:25,脫口秀演員龍龍日前出面淚訴，表示受到「炎上BURN」班底老K言語霸凌，對方不斷嘲諷她跟前男友賀瓏的關係，而她也與薩泰爾公司老闆博恩求助，但卻未獲實質解決，讓她承受不住。事後博恩也發布影片描述事情原委，隨即宣布「老K即日起無限期留職停薪」。事情延燒至今，老K今（2）日也首度回應，表示「向所有感到不適的女性男性致上最深的歉意，私人的恩怨帶給大家麻煩了，真的很抱歉。」但話鋒一轉狠嗆「絕對不會跟這人道歉」。 老K今（2）日晚間發布一則長達20分鐘的影片，在一開頭表示，「不想聽我解釋、覺得我是錯的，可以直接留言罵我我不介意，我覺得台灣有很大程度的言論自由，我不介意你留言私訊攻擊我批評我，我希望把這件事解釋給想知道的人們聽。」 首先對於脫稿演出的問題，老K解釋現場喜劇要求他人完全照稿演出並不公平，且即興互動隨氣氛很多不在本上，他也以《炎上》為例，指出當天乃哥有整段表演沒有在本上，「我跟繡惠姐也有即興，主辦方有權力覺得這東西不適合、不好笑剪掉，但說不能脫稿演出，是有點矯枉過正。」 另外針對直播引起爭議的片段，老K澄清該直播與薩泰爾沒有關係，他表示「前2天我也重看了我那天到底做了什麼，大家覺得最爭議的那段，那段主體一直是『我用我的人稱』」，老K甚至指出性格扭曲那段並非他所言，「不是我講的，很多人對號入座、移花接木，甚至去打一個烏賊戰，覺得這是一個網路霸凌，我真的覺得很莫名其妙。」 緊接著老K也反問觀眾，「在這件事情之前，你們到底有多少人知道我是誰？那你們又有多少人知道龍龍是誰？」老K無奈坦言「這真的是一個大欺小的行為嗎？」不滿表示「他們就是故意用這件事去操弄，在媒體前打受害人的戰，增加她們的聲量吧！什麼樣的人會發新聞報導、擺拍、拍完照開始訪談，開始哭，開始假哭說自己是受害者很可憐？」 影片最後老K坦言，「非常恨這個人，這個人對我來說，是一個喜劇圈一直無法好好發展的一顆毒瘤。去新的經紀公司加上媒體力量，真的不能再沒有人站出來。所以我願意對所有人抱歉，包括我的公司、好朋友，包括所有感到不舒服的人」，但他嚴正強調「絕對不會跟這個人道歉，因為我就是對這個人勢不兩立。」 另外，老K也在臉書內文寫道「事發至今，沒有一家媒體一個記者來試著問過我的想法，任由對方在各平台肆意的說些資訊不對等的事，到底誰才是那個運用聲量表演這一切的人？在此我還是再次向薩泰爾娛樂、執行長Hauer、博恩、賀瓏、以及所有因此感到不適的女性男性致上最深的歉意，私人的恩怨帶給大家麻煩了，真的很抱歉。」（編輯：陳雅雲）      ,news.yahoo.com
龍龍事件炎上懶人包延燒2周到底吵什麼？ - 奇摩新聞,2021年10月8日 下午8:02,龍龍事件延燒近兩周，在社群上不斷發酵，涉及人員也越來越多，龍龍到底是誰？整件事情又發生了什麼事？Yahoo奇摩整理極簡懶人包，提供大家快速了解。 脫口秀，音譯自英文的 Talk Show，演出形式包含單口喜劇（一人演出）、open mic（演員試演）等，因題材不限，演出的橋段有時遊走在道德邊緣，引發各界討論。 脫口秀近年來在台灣發展興盛，根據網路溫度計在2019至2020年間的調查，統計出了20位網友討論度聲量最高的脫口秀演員，包含博恩、龍龍、喬瑟夫、賀瓏、東區德、黃豪平等人，都是在脫口秀圈子當中十分活躍的演員。 其中博恩、龍龍、賀瓏等都與此事件有關。 延伸閱讀》 這次喜劇圈引發風波的龍龍老K事件，隨著話題不斷延燒，越來越多人物一個個加入論戰的行列，以下介紹相關人物。 龍龍：脫口秀演員，本事件主角，曾與賀瓏交往，曾與星雨國際有經紀合約。 老K：脫口秀演員，屬於博恩所創立的「薩泰爾娛樂」公司員工，龍龍指控遭受他長期霸凌、表演時性羞辱。 博恩：脫口秀演員，現任「薩泰爾娛樂」公司董事長。 鄭家純：星雨國際旗下藝人，事件之初曾力挺龍龍，後期與康姐開直播，宣布星雨國際與龍龍解約。 康姐：星雨國際經紀人，同為鄭家純與龍龍經紀人。 凱莉：Podcast百靈果主持人，偶爾會擔任脫口秀演員，意外在鄭家純的「屠龍」直播中被提及，衰遭池魚之殃。 呱吉：現任台北市議員邱威傑，曾在直播中提及龍龍，因而捲入事件。 延伸閱讀》 炎上：教育部辭典中，本意為「火焰熾盛向上燃燒」，在網路社群中，被延伸為一個人因失言而引火上身。 薩泰爾公司推出現場脫口秀「炎上 BURN」，邀請許多爭議人物參與，包括徐乃麟、謝和弦、愛莉莎莎等人，其中本事件中，龍龍指控老K在「炎上徐乃麟」的一段演出，涉及她的個人隱私，因而要求道歉。 因此龍龍事件也被稱為「炎上事件」。 龍龍老K事件可以說是峰迴路轉，情勢不斷的變動。而目前事件重點人物各據一方，不同立場的發言讓整起爭議越發擴散。 9月30日 龍龍接受媒體訪問，提到在薩泰爾娛樂5月的一場演出中，老K脫稿講出她與與賀瓏過往的感情，且她認為老K多次在表演時對她性羞辱，讓龍龍非常不滿，因此與薩泰爾娛樂的博恩聯繫，希望能取得老K的道歉。 10月1日 同屬星雨國際的鄭家純，在臉書上聲援龍龍，批評薩泰爾公司「整間公司真的沒大人」。 10月2日 博恩在薩泰爾的Youtube影片中回應，表示無法勸說老K的道歉。 老K在個人頻道發布影片，表示不會向龍龍道歉，認為節目的訴求就是「這是一場不被審查的吐槽大會」，不接受限制。 薩泰爾與星雨國際本協議以道歉聲明結束此事件，但後來協議破局。 10月6日 龍龍在個人臉書粉專發布影片回擊薩泰爾與老K的說詞，淚訴事件來龍去脈。 10月7日 鄭家純與康姐開直播，宣布星雨國際與龍龍解約，並指控龍龍影片中假哭、利用了公司所有人對龍龍的信任與善良。 龍龍事件支線： 1.白冰冰部分：因此事件，有人找出先前老K曾在脫口秀中，以白冰冰作為題材，嘲諷提及白曉燕命案，引發網友撻伐，白冰冰本人也在臉書中提及此事，表示此舉為「踏著無辜往生者的血跡，衝向自己的網紅路」，後續老K為此道歉。 2.呱吉部分：曾在直播節目中，提及不知道如何與龍龍相處，以及先前節目「吐槽大會」事件，遭到龍龍長文反駁。鄭家純「屠龍」直播後，呱吉反而再開直播，提到喜劇圈反而因此會回過頭保護龍龍。 3.凱莉：鄭家純「屠龍」直播影片中，突然提及凱莉曾對不起龍龍，凱莉則爆哭喊冤。,news.yahoo.com
龍龍回嗆老K 再控被PTT假帳號抹黑,2021年10月3日 下午12:31,脫口秀演員龍龍控訴遭「薩泰爾娛樂」班底老K言語霸凌，老K昨（2日）拍影片道歉，但對象不包括龍龍，還加碼轟她是「喜劇圈毒瘤」，自己絕對不會跟對方道歉，而龍龍也不甘示弱反擊，今早還發文稱被PTT假帳號抹黑。 老K在影片中僅向因他言論感到不舒服的男性、女性道歉，但堅持不對龍龍道歉，「我非常恨這個人，這個人對我來說就是一個喜劇圈一直無法好好發展的一顆毒瘤...我絕對不會跟這個人道歉，因為我就是跟這個人誓不兩立，我希望大家可以諒解。」 此外，老K也提到龍龍說謊成性，表演的腳本是找寫手寫的，卻宣稱是自己完成，對此，龍龍在老K影片下留言：「我從來沒有聲稱我的本是自己寫的啊，我可是找了4個優秀的喜劇演員和我共同討論完成，真的寫得超棒的。還有發慶功宴文和大家分享。」 龍龍同時痛批老K「台上違約，台下妨害名譽、性羞辱、挖人隱私、人身攻擊都是事實」，並嗆「相信我這幾年在喜劇圈的努力和戰果，不可能被一個無名小卒任意抹滅」、「道歉影片不甘不願還硬要模糊焦點、抓小辮子，實在是很沒誠意又小家子氣」。 龍龍今天一早在臉書發文，貼出PTT網友做的截圖，內容質疑她之前可以開別人玩笑，現在卻痛訴被霸凌，根本雙重標準，龍龍回應：「很多是假帳號，真的切帳號切得好辛苦...很明顯要去脈絡化的將兩件不同情況的處境混為一談，企圖再次惡意傷害，作法令人噁心。」不過該篇貼文目前已刪除。（編輯：楊穎軒） ※【 】提醒：如果您或家人、朋友遭受家庭暴力、性侵害或性騷擾的困擾，或是您知道有兒童、少年、老人或身心障礙者受到身心虐待、疏忽或其他嚴重傷害其身心發展的行為，請主動撥113，透過專業社工員處理，救援受虐者脫離危機。 ※ 拒絕暴力請撥打：113、110      ,news.yahoo.com
比老K更早！男星一年前就diss龍龍 - Yahoo新聞,2021年10月5日 下午12:20,脫口秀演員龍龍上月底出面表示，受到「炎上BURN」班底老K言語霸凌，對方不斷嘲諷她跟前男友賀瓏的關係，在炎上正式表演時脫稿演出，讓她不能接受。不過，近日就有網友發現，其實早在一年前的某場演出上，藝人黃豪平就曾經透露過龍龍的前男友是賀瓏，如今爆發老K與龍龍的事件，被網友翻出直呼「原來一年前的梗是這個！」 一名網友在 「一年之後才看懂黃豪平的這個笑話，有興趣可以看整段，如果要看重點的話，直接跳9分23秒左右，其實他講的笑話多數都跟龍龍有關，只是把稿子上的龍龍都改成有參加演出的凱莉」。 只見影片中，為當時在「吐槽大會—呱吉無法擋」的火烤大會中，黃豪平的段子，其中在影片9分23處，黃豪平開始描述「比起脫口秀，我更欣賞博恩的副業，他的副業是資源回收，看看他旗下的藝人，喬瑟夫，魚蹦興業不要的；酸酸，好好笑女孩不要的； 」而最後這一句，明明是Diss凱莉的一段話，卻引起在場來賓為之暴動。 原來，黃豪平在講凱莉之前，就已經先表示「 」，而也在黃豪平說出「賀瓏，凱莉不要的」時，博恩在一旁則是露出震驚表情吐出「他改了！他改了！他整個稿都改了」，顯見這裡的「凱莉」其實指的是前面呼應的「龍龍」。 影片在最近老K與龍龍事件爆發後，不少網友再回去觀看才恍然大悟「原來豪平一年前就勇敢了....」、「當初還以為凱莉跟賀瓏有什麼，現在才看懂改什麼哈哈哈」、「現在才懂博恩當初的他改了是什麼意思.....」、「這梗藏得好深＝＝」、「原本根本不了解這個圈的，直到這次事件才知道原來豪平是講內梗」、「當時候不懂，現在終於瞭解了」、「豪平這算是很正常的脫口秀演出吧，也沒有侮辱啥的」。 也因為這段對話，龍龍雖然未出演該場演出，但後來也出現在現場，自己拿起麥克風表示「大家好我是龍龍，我今天讓大家猜有沒有聽到龍龍這兩個字，為什麼，因為一直有人覺得我的名字跟他重疊了，所以大家會搞混，那個人是誰，那個人就是我前男友賀瓏！」該段影片也被現場觀眾錄下上傳平台，引發不少熱議。（編輯：張嘉哲）      ,news.yahoo.com
喜劇圈「老K、龍龍血戰」挨轟不入流！呱吉反曝關鍵：社會先鋒,2021-10-05 13:29,薩泰爾成員「老K」與脫口秀演員「龍龍」霸凌爭議持續延燒，除了引起雙方支持者互相攻訐，也讓部分民眾對台灣喜劇圈感到失望。對此，北市議員「呱吉」邱威傑4日發文表示，喜劇表演無法讓每個人都喜歡，但不代表所有表演者都「不入流」，「喜劇演員是社會的先鋒，探索文化的邊界與底線」，正如美國喜劇演員Dave Chapelle也曾多次道歉，「但他從沒因此害怕冒犯觀眾。」 呱吉回憶，當時真的是一群外行人小打小鬧，想學外國人那一套，但是又沒人做過，全部土法煉鋼，「有一天晚上，台灣早年備受敬重的外交官陸以正帶著太太一起造訪，當下真是既興奮又羞愧，待過紐約的他一定是想在台北找到一些當年體驗過的樂趣，但我們哪能端出什麼像樣的菜色呢？」 「就這樣十幾年過去，從沒人知道我們在幹嘛」呱吉談到，從辦活動都是個位數的票房，到北市有不只一間喜劇俱樂部，每次參加年輕演員聚會，眾人眼神發光討論喜劇技術細節、段子還有哪些細節可以精進，「裡面有很多表演者可能連及格都稱不上，甚至可能一輩子也上不了檯面。但這不就是所有娛樂產業的常態？大嘻哈時代也只會有一個優勝者啊。」 呱吉說，這讓他想起自己前幾年大港開唱曾被批評是「不入流的活動」，不是一種藝術，但作為一種廣納百川的表演活動，當然有些不是你或每個人都喜歡的表演，「這不表示這活動的出發點或者所有表演者都不入流或是不值得尊敬，這些批評者通常也不是會參加音樂祭的人。」 談起K龍爭議，呱吉坦言自己「最感到遺憾也最不希望見到的，就是這個紛爭變成如此簡化的討論，我很抱歉我沒有說得清楚、也沒有講得很好，我希望大家能看到這個產業裡的人努力的樣子，也希望大家創作的活力不會因此受到任何限制。」 至於有網友質疑「評論得好不好究竟跟是否買票進場有何關聯？」呱吉則直言，「連表演都沒看過幾場，卻可以批評這個產業嗎？不聽搖滾樂的歐吉桑說搖滾樂都是帶壞青少年的垃圾，你覺得可以嗎？」他也舉例，評論電影、餐廳並非希望電影產業、餐廳倒閉，而是期待產業變得更好，所以影評人都會花錢看很多電影、食評家會去吃很多餐廳，「今天有個不看不消費的傢伙批評一個產業，是有建設性的嗎？」 相關報導,storm.mg
薩泰爾《炎上》慘被炎上！脫口秀女王龍龍自曝被老K舞台霸凌,2021-10-02 10:20,脫口秀女王龍龍和薩泰爾娛樂寫手老K，因《炎上BURN》的表演段子鬧得沸沸揚揚，博恩今（2）日在YouTube上傳17分鐘影片， 。 博恩在影片一開始提到， ，當時也獲得薩泰爾娛樂的承諾，然而， ，而龍龍對此也表示同意，事情本該就此告一段落。 不料，數月後老K上《老男孩直播》節目， ，讓博恩直言「 」，龍龍也要求薩泰爾及老K需要對後續的傷害進行公開道歉，博恩也表示同意。 博恩表示，自己希望能改善喜劇圈長期有霸凌的現象，找了很多與龍龍曾經有爭執的人，一起來開座談會來化解紛爭，然而，就在座談會召開前一刻，臨時遭到龍龍經紀公司喊卡。經過雙方經紀公司數次溝通後，決定薩泰爾要發佈道歉聲明，且雙方公司用印，表示雙方均同意事件處理方式，避免隔空再交火。 影片最後，博恩說明，雖然員工下班後的行為，公司無法進行干預，但老K實質上也已做出錯誤行為，且已經影響到公司形象，對龍龍感到萬分抱歉，「我真心希望有個好的方法可以讓這一切停止」，此外，也 責任編輯／黃宇綸 相關報導,storm.mg
